ACC_GCN_Baseline,ROC_GCN_Baseline,ACC_GCN_MixedPool,ROC_GCN_MixedPool,ACC_GAT_Baseline,ROC_GAT_Baseline,ACC_GAT_MixedPool,ROC_GAT_MixedPool,ACC_GraphSAGE_Baseline,ROC_GraphSAGE_Baseline,ACC_GraphSAGE_MixedPool,ROC_GraphSAGE_MixedPool
0.81,0.81,0.86,0.86,0.78,0.81,0.80,0.85,0.77,0.86,0.75,0.86
0.91,0.97,0.95,0.98,0.81,0.91,0.83,0.97,0.89,0.91,0.89,0.94
0.84,0.89,0.91,0.91,0.83,0.85,0.84,0.90,0.81,0.92,0.86,0.90
0.84,0.91,0.89,0.91,0.88,0.90,0.89,0.89,0.77,0.88,0.83,0.91
0.80,0.83,0.77,0.85,0.81,0.85,0.78,0.84,0.84,0.88,0.83,0.85
0.84,0.92,0.86,0.90,0.84,0.92,0.88,0.93,0.84,0.91,0.84,0.89
0.81,0.92,0.88,0.92,0.78,0.93,0.86,0.93,0.84,0.93,0.81,0.93
0.89,0.90,0.81,0.87,0.88,0.91,0.80,0.91,0.84,0.90,0.80,0.91
0.80,0.86,0.88,0.89,0.81,0.87,0.80,0.89,0.80,0.82,0.83,0.87
0.78,0.77,0.77,0.80,0.70,0.83,0.78,0.85,0.72,0.82,0.81,0.83
